-2271.6, -2248.12, -2201.42, -2359.66, -2204.74, -2377.8, -2231.82, -2263.5, -2184.74, -2366.26, 
-3581.04, -3486.2, -3357.98, -3539.22, -3445.44, -3526.32, -3482.4, -3551.1, -3368.02, -3610.74, 
-4409.98, -4167.78, -4046.52, -4241.84, -4143.22, -4229.82, -3934.58, -4325.46, -3986.4, -4351.54, 
-4682.14, -4691.94, -4389.16, -4580.3, -4612.6, -4674.48, -4461.4, -4806.66, -4577.48, -4721.9, 
-4919.68, -5048.4, -4697.26, -4766.44, -4889, -4872.24, -4940.8, -5006.72, -4834.66, -4936, 
-5067.86, -5128.44, -5075.26, -4946.78, -4861.58, -5037.22, -5035.48, -5158.18, -5091.98, -5028.76, 
-5183.68, -5095.2, -5234.76, -5240.2, -5233.52, -5164.36, -5108.02, -5291.3, -5204.5, -5108.78, 
-5163.9, -5253.54, -5227.04, -5279.08, -5241.32, -5295.92, -5143.78, -5359.3, -5330.24, -5179.6, 
-5304.6, -5388.38, -5248.66, -5396.3, -5386.12, -5491.06, -5362.34, -5437.54, -5303.9, -5117.7, 
-5203.4, -5395.78, -5352.24, -5461.32, -5306, -5368.74, -5334.34, -5451.56, -5376.78, -5240.32, 
-5316.56, -5439, -5433.88, -5445.18, -5393.44, -5554.62, -5480.6, -5475.86, -5284.26, -5401.5, 
-5252.26, -5563.82, -5637.22, -5461.04, -5522.36, -5566.7, -5471.34, -5646.74, -5442.8, -5468.12, 
-5471.72, -5441.82, -5498.46, -5636.42, -5599.98, -5584.66, -5522.42, -5657.7, -5497.38, -5492.96, 
-5632.86, -5514.54, -5595.76, -5746.44, -5631.78, -5705.76, -5387.42, -5724.98, -5645.32, -5499.4, 
-5546.48, -5553.98, -5613.32, -5703.78, -5550.3, -5684.64, -5511.04, -5701.5, -5638.12, -5553.32, 
-5519.18, -5515.62, -5544, -5649.5, -5631.64, -5690.36, -5571.84, -5776.72, -5663.14, -5552.98, 
-5630.38, -5616.58, -5548.06, -5773.6, -5555.18, -5774.96, -5545.72, -5740.48, -5760.1, -5553.24, 
-5679.92, -5552.18, -5830.88, -5870.82, -5653.72, -5744.58, -5684.26, -5780.3, -5698.78, -5749.42, 
-5626.02, -5626.06, -5791.28, -5687.68, -5637.92, -5873.12, -5710.5, -5780.36, -5681.52, -5610.54, 
-5773.82, -5647.84, -5735.72, -5682.62, -5558.1, -5803.22, -5700.78, -5738.48, -5757.74, -5676.42, 
-5797.46, -5717.04, -5886.54, -5698.98, -5524.76, -5855.48, -5831.94, -5853.94, -5748.2, -5682.18, 
-5910.32, -5780.8, -5829.36, -5725.86, -5706.36, -5976.16, -5878.68, -5796.58, -5734.34, -5742.4, 
-5741.44, -5712.9, -5874.44, -5794.12, -5728.6, -6053.4, -5909.28, -5973.2, -5848.64, -5683.54, 
-5945.44, -5857, -5753.44, -5880.74, -5725.74, -5830.44, -5813.26, -5884.32, -5952.86, -5740.28, 
-5734.46, -5990.92, -5950.52, -5738.8, -5778.34, -5845.72, -5912.12, -5860.82, -6169.42, -5889.9, 
-5861.96, -5886.34, -6023.72, -5747.6, -5696.7, -5899.98, -6091.7, -5983.26, -6106.24, -5871.96, 
-5846.98, -5993.64, -5897.92, -5814.1, -5642.06, -6038.22, -5955.62, -6041.3, -5943.8, -5926.1, 
-5978.44, -5969.82, -6039.3, -5766.92, -5708.16, -6102.78, -5898.84, -6117.22, -5891.64, -5908.68, 
-5986.2, -5931.34, -6136.6, -5657.44, -5813.62, -6002.86, -5865.52, -5997.74, -5926.28, -5911.36, 
-6031.18, -5889.48, -5950.98, -5902.3, -5840.02, -5800, -5987.76, -5992.8, -5982.26, -5941.08, 
-6102.54, -5908.62, -5915.38, -5906.76, -5985.9, -5894.98, -5955.34, -5987.2, -5918.58, -6125.06, 
-6170.16, -5855.04, -6011.76, -5904.7, -5969.88, -5965.44, -5992.4, -6104.16, -5902.46, -5932.84, 
-6081.42, -5899.98, -6159.48, -5900.18, -6032.24, -5857.26, -5816.32, -6062.32, -5876.34, -5964.86, 
-6156.64, -5921.46, -6118.2, -6111.98, -6112.96, -5893.76, -5880.24, -5981.4, -5792.56, -5996.68, 
-6182.74, -5958.44, -6184.16, -6013.48, -6125.28, -5818.04, -6067.5, -5925.52, -6007.46, -5873.24, 
-6248.4, -5954.48, -6137.46, -5951.7, -6129.6, -5983.56, -6256.02, -5910.26, -6006.06, -5980.28, 
-6139.56, -5937.2, -6095.12, -6139.94, -6085.62, -6025.82, -6200.2, -6028.76, -5952.74, -5897.34, 
-6137.26, -6044.04, -6188.52, -6091.18, -6039.44, -6000.08, -6352.74, -5974.82, -5935.46, -6010.28, 
-6209.28, -6107, -6095.86, -6297.02, -6058.52, -5964.64, -6161.56, -6000.42, -6066.08, -5884.44, 
-6278.16, -6081.02, -6075.72, -6328.66, -6230.14, -6050.82, -6243.48, -6074.5, -5961.2, -6050.52, 
-6220.88, -6211.56, -6191.96, -6179.74, -6195.6, -5984.92, -6293.98, -6194.54, -6004.52, -6017.38, 
-6143.78, -6002.06, -6231.38, -6161.16, -6167.18, -5970.26, -6207.72, -6156.38, -5930.88, -6112.34, 
-6153.68, -6125.8, -6170.3, -6109.28, -6123.3, -6120.62, -6227.96, -6268.58, -6045.78, -5982.8, 
-6310.9, -6134.14, -6161.34, -6142.56, -6299.02, -6266.86, -6274.72, -6262.06, -6053.26, -6126.14, 
-6371.28, -6109.62, -6051.72, -6094.34, -6349.88, -6155.72, -6532.04, -6138.12, -5968.28, -6181.08, 
-6330.14, -5972.5, -6084.74, -6183.8, -6334.1, -6231.82, -6485.56, -6148.34, -5944.86, -6127.64, 
